epoch,loss,macro_f1,val_loss,val_macro_f1
0,0.49388981021358447,0.62643397,0.4302813843184826,0.62628
1,0.39421412957410373,0.66371214,0.34084595126264233,0.7038057
2,0.3315538239676543,0.7827287,0.2863553779966691,0.7654581
3,0.2846053865563148,0.80851996,0.24383971767098295,0.8179651
4,0.2508564115528296,0.78474325,0.21452095783224293,0.8311447
5,0.22629272964973648,0.77299553,0.19631157932328244,0.8384293
6,0.2084098134713539,0.85453814,0.18199761825449326,0.85398054
7,0.19453639823771096,0.84612626,0.1685782330585461,0.86399746
8,0.18213699305612477,0.8390805,0.156915124724893,0.87237763
9,0.17168491126587898,0.8752329,0.14596175460838803,0.8894693
10,0.1597731031174034,0.8689496,0.13557317619230233,0.90002143
11,0.15054965275673698,0.88318574,0.12779386823668198,0.9073984
12,0.14316432977305096,0.85687715,0.12135499394407459,0.9101665
13,0.1358396217406404,0.8658519,0.11664650910625271,0.9138448
14,0.1308318648456759,0.9034072,0.11157371775776732,0.91765034
15,0.12529672912333914,0.89151686,0.10732064323098052,0.92007893
16,0.12063014322386278,0.89357746,0.10385712068162713,0.92117685
17,0.11480696581630347,0.91190016,0.09666035784518018,0.9313193
18,0.1091957169802279,0.9036605,0.09228150188630703,0.9330417
19,0.10459524857064444,0.9315171,0.08782385611066632,0.9352231
20,0.10115795593275341,0.9152316,0.08560990754003618,0.93669033
21,0.0977148249338527,0.9333248,0.08405004726613269,0.93669164
22,0.09523127753716396,0.9495157,0.08162681904493593,0.9384211
23,0.09251102184760661,0.9380129,0.07858335226774216,0.94032204
24,0.08965193914294252,0.9779612,0.07752735102001358,0.9403626
25,0.08736696026505608,0.97575986,0.07592604440801284,0.94152606
26,0.08529393970269222,0.9267672,0.07387588808641714,0.9427597
27,0.08338369273517256,0.9551474,0.07278825554485414,0.94283295
28,0.08146676938231988,0.9554385,0.07057409032302744,0.94536495
29,0.07928166566818749,0.93560493,0.06988002264908716,0.94495535
30,0.07758429810085932,0.9505359,0.06587595521819357,0.9485712
31,0.07605878354051433,0.92409456,0.06438974470046221,0.9494057
32,0.07391959259536371,0.9284166,0.06303438442010506,0.950932
33,0.072453073776395,0.98222226,0.061189252846673425,0.9523103
34,0.07132283512244918,0.97246265,0.060442309096163396,0.9527994
35,0.06988954575609069,0.9317301,0.05862677352977734,0.9538661
36,0.06838415201405676,0.9741026,0.05890398070800538,0.9530564
37,0.0676478893913295,0.93638647,0.05727574075846111,0.954658
38,0.06628032274437386,0.9795785,0.056376593370063635,0.95519197
39,0.06486052331673293,0.96197784,0.055177727239389046,0.9564291
40,0.06382259193287003,0.9935484,0.0544861060950686,0.9568234
