epoch,loss,macro_f1,val_loss,val_macro_f1
0,0.5025956993961875,0.64290017,0.426713461969413,0.64221126
1,0.376141979660722,0.71825445,0.3287600366508259,0.72218114
2,0.2966631793525104,0.7941361,0.2590936024983724,0.80700886
3,0.24237527769418643,0.8219144,0.219360725552428,0.82636315
4,0.2103909046733221,0.8514918,0.192287731404398,0.8464557
5,0.18706178790413627,0.86887723,0.17445314324953975,0.8600363
6,0.17107424313912903,0.80269367,0.1599834603714008,0.8705694
7,0.15669696823600174,0.85337293,0.144854030334482,0.8879655
8,0.14390893337761151,0.93527067,0.13381566589369492,0.8994092
9,0.13212635136288783,0.85480577,0.12301321313077328,0.9076098
10,0.12238587808532211,0.8987013,0.11441375183708527,0.91570073
11,0.11418670531188302,0.8477828,0.10713122288386027,0.9205721
12,0.10649611587145548,0.9094939,0.0982184150055343,0.926805
13,0.09739624250222226,0.9441228,0.0899071401971228,0.93761915
14,0.09000977927800181,0.9079701,0.08333865487400223,0.9420319
15,0.08399766742376309,0.9652141,0.07820995670615458,0.94528556
16,0.07764240552235055,0.9137505,0.06924936591702349,0.9565915
17,0.0671097901481565,0.92510825,0.061083347116615255,0.96453553
18,0.06165076581333685,0.9545005,0.05742239060939527,0.9661722
19,0.0580336089195334,0.93902177,0.053445014189563544,0.9687366
20,0.05396711042924969,0.9595442,0.050239862691538004,0.97097415
21,0.05168921094488052,0.9591837,0.04786835136074646,0.9728362
22,0.04895572414499858,0.9557781,0.045553180626502224,0.97368944
23,0.04638241719537667,0.97399414,0.04381066107866811,0.97480184
24,0.0438624895573124,0.95589745,0.041202617736131535,0.97622997
25,0.041632738546941515,0.97897434,0.03972361948998535,0.9776753
26,0.03966177588217152,0.98,0.03830354876231914,0.97865695
27,0.03789920787819759,0.99661016,0.037036398681355456,0.97914594
28,0.03629310133821467,0.9916132,0.034899521034722235,0.9799396
29,0.034633594793442184,1.0,0.03370234364753261,0.979824
30,0.03349644687323585,0.973296,0.03278506486950552,0.9809282
31,0.03222100591624576,0.98766804,0.031479298885838655,0.9814272
32,0.03101403440327876,0.97309095,0.03065893868459206,0.9820041
33,0.02965875315946417,0.9576355,0.030024416927321284,0.9819922
