epoch,loss,macro_f1,val_loss,val_macro_f1
0,0.45544084300657695,0.6318974,0.4076919812782138,0.6045128
1,0.39822787597726317,0.6449051,0.380741941578248,0.63055503
2,0.37488710126478947,0.65998733,0.35988598419170753,0.65331507
3,0.3561910154199809,0.7327816,0.34327712304451885,0.6685556
4,0.3436207849652647,0.7164305,0.33143892592074825,0.6793231
5,0.33353769668580857,0.6706574,0.3229284964355768,0.68510914
6,0.32786515371795266,0.79194677,0.32200560587293964,0.68306816
7,0.3239678453769189,0.7486235,0.31540310090663387,0.68853134
8,0.31754921541613335,0.65101194,0.3093103801502901,0.69493186
9,0.31310744482239056,0.7163281,0.30640603251316967,0.69868517
10,0.3119479001427787,0.69325554,0.304984230036829,0.6998549
11,0.31083348470923083,0.6358463,0.30058586013083366,0.7029258
12,0.3074287188063188,0.63925785,0.3036619395601983,0.69847935
13,0.3073138005003551,0.72686064,0.3010113636652629,0.70157146
14,0.3059489927607104,0.68952525,0.2993275876723084,0.7023883
15,0.30668038415738763,0.71217394,0.3013971982633366,0.70034087
16,0.3050316810214782,0.67010725,0.2977235545130337,0.703648
